Időbélyeg;Írja le az első szót, ami eszébe jut az alábbi fogalomról: Dohos;Írja le az első szót, ami eszébe jut az alábbi fogalomról: Fémes;Írja le az első szót, ami eszébe jut az alábbi fogalomról: Megvetés;Írja le az első szót, ami eszébe jut az alábbi fogalomról: Téboly;Írja le az első szót, ami eszébe jut az alábbi fogalomról: Koncentráció;A lánc első szava: Küszöb;A lánc első szava: Diadal;A lánc első szava: Csend;Írja le azt a fogalmat, amely a legkevésbé kapcsolódik az alábbi szóhoz: Kötél;Írja le azt a fogalmat, amely a legkevésbé kapcsolódik az alábbi szóhoz: Lelkesedés;Valaki leszólítja Önt az utcán. Folyamatosan beszél, de Ön nem beszéli a nyelvét.;Valaki ötször kereste Önt zsinórban egy ismeretlen számról.;Kép:;Kép:;Kép:;Kép:
2026.05.06. 15:11:41;szekrény;íz;mutat;kocsma;tanulás;ajtó, fa, gyökér;ló, szőr, biológia;ég, felhők, gáz;irigység;kapufa;El akarom hagyni a szituációt. Az illető nem normális. Próbálnék segíteni, de ha nem megy otthagynán. Valószínűleg a másik fél zavarodott.;Idegességet éreznék. Scam call valószínűleg. Blokkolnám a számot. Scammelni akar a másik fél.;Az illető nagyon bevállalós, veszélyes életet él. Nyilván nem fél a magasságoktól. A kép álom szerű.;A képet kellemetlen nézni, mert az agyam elképzeli a savanyú ízt a számban. A fogaknak nem jó ha így beleharapsz egy citromba.;Ez valami lenyomata valaminek. Vagy lehet, hogy kifolyt valami és azt látjuk. Kicsit hasonlít egy állat arcára a középső rész.;Ez engem egy rovarra emlékeztet, fent olyan mintha csápok lennének. De ez is inkább olyan mintha festék folyt volna ki, és fröcskölt volna szét.
2026.05.06. 15:16:06;Dohány;Íz;Mást;Őrűlt;Zavar;Ajtò, ház, otthon;Ív, épület, ház;Sötét, este, alvás;Porcelán;Szar;Furcsa/ zavarodott helyzet, valószinűleg útba igazitás kellene az embernek, feltételezhetőleg vmi kézi jelekből/ google translate-el tudunk kommunikálni minimálisan;Idegesítő az ilyen, valószínűleg scam hívás és ignorálnám. A másik fél gondolom random telefon számot kapott, és azért hívott;Elég tériszonyos jelenet, az ember nem tűnik úgy, mintha ülne, tehát épp a halálába zuhan;Még csak nem is harap bele a citrom gerezdbe, csak a szélébe egy keveset max, és tequila sincs a kezében, se sò;Ez gyanusan egy pszichológiai tesztből kivett kép, y tengelyre párhuzamos elfolyt tinta folt;Bogárra hasonlító tinta folt, esetleg egy agy silohuett-je is felvélhető az alakbòl fura kinövésekkel
2026.05.06. 15:24:19;Anyád;Cigány;Jézus;fejemben;Szem;Láb, köröm, lila;Lovag, kard, vág;Nap, naptej, égett bőr;Fasz;Tetris;"Direkt beleraktál egy írási hibát hogy ne lássuk, hogy AI írta, 200IQ, nem köplek be tesó.
";;;;;
2026.05.06. 15:57:14;íz;lap;inger;őrület;tábor;ajtó, fal, ház;menet, felvonulás, tömeg;nap, óra, szabadidő;zsebkendő;aorta;Az első gondolatom a zavarodottság lenne a beszélő fél irányába. A kiváltó ok lehet útbaigazítás, vagy adománygyűjtés, vallási irányzatú hirdetés (például krisna, hindu). Első lépésként közös ismert nyelvet keresnék, vagy a legősibb mutogatással információ csere. Mérlegelném a másik fél mit érezhet, annak függvényében, hogy mi az alaphelyzet, viszont, ha elbeszélünk egymás mellett a közös beszélt nyelv hiányában, a másik félben megnemértettség lehet és a célját sem érte el a kapcsolatfelvétellel.;Első intuicióm a düh lenne. Agyalnék rajta, hogy biztos közvélemény kutatás, vagy kikerült a telefonszámom egy oda nem illő adatbázisba. Abban az esetben, ha tudom, hogy rendeltem valamit és az ismeretlen szám sokszor keres telefonon, akkor visszahívom.  ;Szabad mászás vége egy felhőkarcolón télen. Milyen jó lenne ejtőernyővel leugrani.;Még jó, hogy nem lócitromba harapott a nő. A citrom ízéből adódó fanyarú arc. A csaj férjnél van.;Medence, farokcsontot látok benne. Két ember parázsló tűz körüli tánca dinamikát kelt.  ;Két nyúl egymásnak háttal ugrani készül. Cselekvésre buzdít.
2026.05.06. 17:38:00;poros;vasút;lenézés;BME;tanulás;küszöb,ajtó,ház;diadal,kupa,pénz;csend,este,tücsök;körte;por;Valamiben segítséget kér ezért akar velem kapcsolatba lépni. Ha ismerem a nyelvet megpróbálok vele szót érteni. Ellenkező esetben pedig használnám az telefonomon lévő fordító alkalmazást és úgy próbálnám felvenni a kapcsolatot. Az ő fejében attól függően hogy tudom vagy nem a nyelvet teljesen más játszódik le. Ha tudom akkor örül hogy ezen hamar átlendültünk viszont ha nem kicsit tanácstalan lesz miért nyúlok a telefonomhoz.;Az első megérzés az hogy valaki valamit nagyon sürgősen el akar mondani nekem. Ez nem csak egy sima telefonhívás inkább ilyen élet és halál szituáció. Ahogy lehetséges egyből visszahívnám. A másik fejében pedig aggódás van hiszen nem tudja hogy mi történt a másik féllel ;Én egy kicsit téliszonyos vagyok szóval rémisztő ez a szemszög. Mondjuk tök menő ahogy innen rálátni minden épületre, autóra és emberre. Olyan jelentéktelennek/aprónak tűnik minden;Ez hülye?? Nem evett még citromot?? Engem nem a boldogság érzése fogna el citromba harapás előtt;Nekem ez egy pillangónak néz ki. Ezt a vadonban simán el tudnám képzelni. Boldogságot áraszt a kép;Ez nekem hasonlít a Radnai Márk és Magyar Péter James Bond képekre. Politikában tudnám elképzelni. Tekintélyt parancsol
2026.05.07. 14:25:37;Pince;Vas;Érzelem;Babilon;Erőlködés;Ajtó, ablak, ház;Harc, kard, győzelem;Szoba, tv, kanapé;Csiga;Három;Szólni kéne neki hogy nem értem. Segítséget szeretne kérni. Segíteni szeretnék, elkezdek mutogatni. Rájön hogy valami nem stimmel, megpróbálja megértetni magát.;Ismeretlen szám, úgyhogy nem veszem fel. De már többször hívott, lehet fontos vagy valaki ismerős más telefonszámról hív. Felveszem ha legközelebb hív vagy visszahívom. Miért nem veszi fel?;Ilyesztő, de egyben izgalmas. Szoktam ilyeneket álmodni. A magány és a meg nem értettség, kívülállóság érzete. ;Rossz a fogzománcnak. Nyár, vidámság, jóidő. Vajon kihívást teljesít?;Filmekben szoktak ilyeneket használni. Kicsit olyan mint az emberi medencecsont. Vagy egy tarka tehén foltja.;Olyan mint egy szarvasbogár. De akár egy maszk is lehet. Vagy két ET háttal egymásnak fácántollan a fejükön.
2026.05.07. 16:18:43;Levegőtlen;Íz;Érzelem;Probléma;Nehézség;Ajtó, ház, kert;Siker, pénz, csillogás;Nyugalom, otthon, család;Kedvesség;Asztal;Megpróbálnám megállásra késztetni a beszédben egy másik nyelven, amit én beszélek a magyaron kívül. Ha ez nem jár sikerrel, akkor elővenném a telefonom és megnyitnám a fordító programot. Ezután jelezném neki kézzel-lábbal, hogy válassza ki azt a nyelvet, amin beszél, hogy tudjak neki segíteni.;Ha nincs hívószám kijelzés, akkor nem foglalkoznék vele. Ha kijelezte a számot a készülék, akkor visszahívnám, miután ellenőriztem, hogy nincs-e fent valamilyen csalós telefonszámokat gyűjtő weboldalon, ha van erre lehetőségem. Ha valamilyen külföldi hívószám lenne, akkor nem hívnám vissza, mert tartanék attól, hogy csalókkal van dolgom.;Gyönyörű a látvány, de azonnal félelmet is kelt bennem. Ilyen magasságban nem biztonságos így kiülni egy ablakba, vagy épület szélére.;Ha az élet citromot ad, csinálj belőle limonádét. Rögtön ez a mondás jutott eszemben. Maga a kép egészen jó kedvre derített, mert úgy tűnik, hogy boldog a rajta szereplő ember. (Még, ha csak reklám, akkor is.);Pillangót vagy hóbaglyot látok a kép fehér részén. Egy erdőben vagy mezőn tudnám elhelyezni. ;A kép sötét részén két menő nyulat látok egymásnak háttal, akik éppen répát esznek. Ezt is erdőn/mezőn tudnám elképzelni.
2026.05.07. 16:38:18;pince;kerítés;barát;kóc;dolgozat;ajtó,ház,szoba;harc,lovag,kard;nyugalom,tó,tisztás;élet;szakdolgozat;Elsőre megilletődnék és pár másodpercig értetlenül néznék rá. Aztán kellemetlenül mosolyognék és elmondanám angolul, hogy nem beszélem a nyelvét. Szerintem meg fogja érteni, bocsánatot kér a saját nyelvén és tovább áll.;Ideges lennék, de visszahívnám, hátha fontos. Utána kiderülne valószínűleg, hogy tényleg fontos volt, és a másik fél lenne ideges, hogy nem válaszoltam elsőre.;Tériszonyom van, de szabadsággal tölt el az érzés. Fázom és lassan el akarok indulni lefelé.;Nyár van, meleg és innék egy hűsítő limonádét. Szeretem a citromot.;Két szélső alak széthúzza a középen levő embert. A kép nyomaszt, frusztrációt generál bennem. Olyan, mint egy elromlott családdinamika.;Két nyúl egymásnak háttal áll és répát esznek. Húsvét van. Valahogy ez is nyomaszt, a pöttyök, mintha vérfoltok lennének.
2026.05.07. 19:00:19;Büdös;Vér;Szégyen;Őrület;Figyelem;Ajtó, fal, ház;Győzelem, siker, kudarc;Hangzavar, kiabálás, veszekedés;Szabadság;Aggály;;;;;;
2026.05.07. 22:28:31;Pince;Nyelv;Fáj;Színes;Fejfájás;Fa, bejárat, lábujj;Történelem, könyvszag, ülés;Zöld, madár, meleg;Prepozíció;Türkizkék;;;;;"Medence csont. 
Csalódás. Soha nem lesz gyermekem. Kevés vagyok hozzá. Nem lehet szeretni.";Két alak egyedül. Egyedüllét. Magány. Halál.
